DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA-NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
241806898,03/02/2024 12:00:00 AM,03/02/2024 12:00:00 AM,0400,18,Southeast,1844,1,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,,,IC,Invest Cont,510,,,,10800    AVALON                       BL,,33.9383,-118.2652
240106399,02/02/2024 12:00:00 AM,02/02/2024 12:00:00 AM,0830,01,Central,0132,2,888,TRESPASSING,0910,0,X,X,135,MTA PROPERTY OR PARKING LOT,,,IC,Invest Cont,888,,,,200 S  HOPE                         ST,,34.0549,-118.2511
242006661,03/03/2024 12:00:00 AM,03/02/2024 12:00:00 AM,2100,20,Olympic,2034,1,310,BURGLARY,1402 0358 0344 0321 1602 0329 0342,0,X,X,229,CHECK CASHING*,,,IC,Invest Cont,310,998,,,3300 W  8TH                          ST,,34.0596,-118.3022
241005332,02/06/2024 12:00:00 AM,02/02/2024 12:00:00 AM,0900,10,West Valley,1018,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,15700    COHASSET                     ST,,34.2066,-118.4749
240108451,03/03/2024 12:00:00 AM,03/02/2024 12:00:00 AM,1309,01,Central,0195,1,330,BURGLARY FROM VEHICLE,0344 1307,44,F,B,116,OTHER/OUTSIDE,,,IC,Invest Cont,330,,,,1500 S  BROADWAY,,34.0349,-118.263
240305673,02/02/2024 12:00:00 AM,02/01/2024 12:00:00 AM,2100,03,Southwest,0336,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,2100 W  31ST                         ST,,34.0265,-118.312
241507056,03/03/2024 12:00:00 AM,03/02/2024 12:00:00 AM,1800,15,N Hollywood,1543,1,330,BURGLARY FROM VEHICLE,1300 0344 1609 0321,63,M,B,707,GARAGE/CARPORT,,,IC,Invest Cont,330,,,,12300    BURBANK                      BL,,34.1721,-118.401
241106332,03/02/2024 12:00:00 AM,03/02/2024 12:00:00 AM,0100,11,Northeast,1169,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,200 S  AVENUE 52,,34.1046,-118.1981
240606818,03/02/2024 12:00:00 AM,03/02/2024 12:00:00 AM,1000,06,Hollywood,0676,2,900,VIOLATION OF COURT ORDER,2028 2004 0913 2038,51,M,H,203,OTHER BUSINESS,,,IC,Invest Cont,900,,,,800    VINE                         ST,,34.0853,-118.3266
241805565,02/02/2024 12:00:00 AM,02/01/2024 12:00:00 AM,2230,18,Southeast,1862,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,11800 S  MAIN                         ST,,33.9265,-118.2739
